age,sex,s,v,rs,rv,dead,vrs,sv,n
56,male,0.1094746781393115,0.0315007611471825,0.3270400001999999,0.0,0,0,0.004033416851729,0.527951143661777
57,male,0.1078556105253983,0.0289877154021953,0.3319466668999999,0.0,0,0,0.0036374845150933,0.5275725226573129
58,male,0.1062174101954349,0.0267696302607853,0.3368533335999999,0.0,0,0,0.0032920364926968,0.526867589451083
59,male,0.1045620517646296,0.0248488117880137,0.3417600003,0.0,0,0,0.0029947667194783,0.5258343694278784
60,male,0.1028914402880702,0.0232274986405738,0.346666667,0.0,0,0,0.0027434365387444,0.5244709575326115
61,male,0.0975965134267456,0.0233966162962231,0.3493333335999999,0.0,0,0,0.0026054592653597,0.5270680774116716
62,male,0.0926864393766797,0.0222139657112972,0.3520000002,0.0,0,0,0.0023323627238771,0.530767231988146
63,male,0.0879781981315402,0.021200325008407,0.3546666668,0.0,0,0,0.0020987044012413,0.5340561056588113
64,male,0.083467481988603,0.0203598763740801,0.3573333333999999,0.0,0,0,0.0019003021109248,0.536939006126392
65,male,0.0791597785853184,0.0195815522413559,0.36,0.0,0,0,0.0017231908881877,0.5395354782851378
66,male,0.0744613938851615,0.0183686611541355,0.3626666666,0.0,0,0,0.0015102318160891,0.5429930465446138
67,male,0.0699891098096272,0.0175258864692476,0.3653333331999999,0.0,0,0,0.0013462507094037,0.5458054198117215
68,male,0.0657682427593039,0.0166271469745902,0.3679999998,0.0,0,0,0.0011932831975325,0.5484113272685733
69,male,0.0617868376139226,0.0156728882291274,0.3706666664,0.0,0,0,0.0010508837215116,0.5508227240354383
70,male,0.0580332368088857,0.0146635654584105,0.373333333,0.0,0,0,0.0009185970557894,0.5530512676769141
71,male,0.0529489755952803,0.0131325197837822,0.3815466664,0.0,0,0,0.0007451492968254,0.5516266889241119
72,male,0.0482583678378975,0.012114614464265,0.3897599998,0.0,0,0,0.0006226078545556,0.5492444100432818
73,male,0.0439631596592677,0.0110815180746957,0.3979733331999999,0.0,0,0,0.0005158388196638,0.5464661502463728
74,male,0.0400334815203387,0.0100349749546108,0.4061866666,0.0,0,0,0.0004230978526135,0.5433217790724368
75,male,0.036452467601264,0.0086793610826611,0.4144,0.0,0,0,0.0003314530731177,0.5401367182429571
76,male,0.0331916243162018,0.0065530062210845,0.4226133333999999,0.0,0,0,0.0002265608267954,0.5374154752359181
