age,sex,s,v,rs,rv,dead,vrs,sv,n
35,female,0.1049938132783582,0.0585436474121865,0.204790196,0.0,0,0,0.0074141885444403,0.6242581547650148
36,female,0.1014115268438653,0.059581803797576,0.2131317646,0.0,0,0,0.0072646100162369,0.6186102947423215
37,female,0.0980257887904879,0.0598688112714579,0.2214733331999999,0.0,0,0,0.0070277143674646,0.6136043523705894
38,female,0.0981417898828273,0.0595200209623495,0.2298149018,0.0,0,0,0.0069927977712709,0.6055304895835522
39,female,0.0983035493281684,0.0587831150493856,0.2381564704,0.0,0,0,0.006912178048521,0.5978446871739247
40,female,0.0985111728863156,0.0576581992661159,0.246498039,0.0,0,0,0.0067857494656654,0.5905468393819029
41,female,0.10138558027807,0.0535127225928346,0.2479976469,0.0,0,0,0.0064693647296077,0.5906346854994877
42,female,0.1040215176771015,0.0519053957796781,0.2494972548,0.0,0,0,0.0064459204081762,0.588129911335044
43,female,0.10673956073488,0.0501352054600677,0.2509968627,0.0,0,0,0.0063956262089674,0.5857327448960847
44,female,0.1095422653291814,0.0482039293055826,0.2524964706,0.0,0,0,0.0063167044604021,0.5834406303048336
45,female,0.1124972957977067,0.0456301914334201,0.2539960785,0.0,0,0,0.0061422607722138,0.5817341734966593
46,female,0.1135661253551362,0.0418926419571851,0.2554956864,0.0,0,0,0.0056714223942609,0.5833741238934176
47,female,0.1144107788875177,0.0398617580166529,0.2569952943,0.0,0,0,0.0054273643299687,0.5833048044658605
48,female,0.1152095344718385,0.0382068845507156,0.2584949022,0.0,0,0,0.0052318157094555,0.5828568630679902
49,female,0.1159616452677596,0.0369272675345269,0.2599945101,0.0,0,0,0.0050855305575677,0.5820310465401456
50,female,0.116666357789747,0.0360221463211751,0.261494118,0.0,0,0,0.004989269521217,0.5808281083678608
51,female,0.1138710017691622,0.037572959575048,0.2658054905,0.0,0,0,0.0050723810803176,0.577678167075472
52,female,0.1113875627641224,0.0372082501387269,0.270116863,0.0,0,0,0.0048960382761144,0.576391285821036
53,female,0.1089247318094243,0.0370425102745681,0.2744282355,0.0,0,0,0.0047508909043382,0.5748536315116692
54,female,0.1064837187348514,0.0370776169205986,0.2787396079999999,0.0,0,0,0.0046350620269618,0.573063994317588
55,female,0.104012995281922,0.0377475612706176,0.2830509805,0.0,0,0,0.0045994057671121,0.5705890571803481
56,female,0.1006689657979946,0.0389649956932063,0.287362353,0.0,0,0,0.0045836016842239,0.568420083824575
57,female,0.0975282936178265,0.0392410465514796,0.2916737255,0.0,0,0,0.0044564827542583,0.5671004515764355
58,female,0.0945264394725684,0.0390439396770576,0.295985098,0.0,0,0,0.004280797585127,0.5661637252652469
59,female,0.0916568055943283,0.0383688790590471,0.3002964704999999,0.0,0,0,0.0040613421877235,0.5656165026589011
60,female,0.0889130592987539,0.0372113413079844,0.304607843,0.0,0,0,0.0038026399515114,0.5654651164417502
61,female,0.0843121893805866,0.0326303117647348,0.3069509803,0.0,0,0,0.0031265327976622,0.5729799857570161
62,female,0.0796418464448186,0.0310877948353204,0.3092941176,0.0,0,0,0.0027929526071506,0.5771832885127102
63,female,0.0752241901502238,0.0293060527748685,0.3116372549,0.0,0,0,0.0024686689813509,0.5813638331935567
64,female,0.071046956255198,0.0272837928796726,0.3139803921999999,0.0,0,0,0.0021549746239694,0.5855338840411598
65,female,0.067125064232001,0.0246581679918791,0.3163235295,0.0,0,0,0.0018261233392658,0.5900671149368539
66,female,0.062788758157179,0.0206733127946667,0.3186666668,0.0,0,0,0.0014184504512594,0.5964528117968948
67,female,0.0586022847334664,0.018348638576171,0.3210098041,0.0,0,0,0.0011663871710976,0.6008728854192649
68,female,0.0546609963617849,0.01626184877357,0.3233529414,0.0,0,0,0.0009577311215653,0.6047664823430796
69,female,0.0509543263012083,0.0144186806745312,0.3256960787,0.0,0,0,0.000786745014995,0.6081441693092654
70,female,0.0474716849961911,0.0128242636010849,0.328039216,0.0,0,0,0.0006482995293562,0.6110165358733676
71,female,0.0445061364467044,0.0126453236092653,0.3352560787,0.0,0,0,0.0005972870784253,0.606995174165605
