year,age,sex,smoking,vaping
2029,96,male,0.0072312575749334,0.0005614127169951
2029,97,male,0.0070087711757587,0.000497805028797
2029,98,male,0.0067930832468441,0.0004698471382631
2029,99,male,0.0065839888881866,0.0004775390453933
2029,100,male,0.0063812892030843,0.0004471336320483
2029,101,male,0.0061847911327379,0.0003286200279771
2029,102,male,0.0059943072947594,0.000266973720311
2029,103,male,0.0058096558255403,0.0002192176220167
2029,104,male,0.0056306602264237,0.0001853517330942
2029,105,male,0.0054571492136269,0.0001653760535435
2029,106,male,0.0052889565718573,0.0002345366877269
2029,107,male,0.0051259210115617,0.0002291113426363
2029,108,male,0.0049678860297514,0.0002309611647757
2029,109,male,0.0048146997743399,0.0002400861541452
2030,0,male,0.0,0.0
2030,1,male,0.0,0.0
2030,2,male,0.0,0.0
2030,3,male,0.0,0.0
2030,4,male,0.0,0.0
2030,5,male,0.0,0.0
2030,6,male,0.0,0.0
2030,7,male,0.0,0.0
2030,8,male,0.0,0.0
2030,9,male,0.0,0.0
2030,10,male,0.0,0.0
2030,11,male,0.0,0.0
2030,12,male,0.0,0.0
2030,13,male,0.0,0.0
2030,14,male,0.0,0.0
2030,15,male,0.0087171421851513,0.1793255238047966
2030,16,male,0.0146028192838508,0.2162176904765884
2030,17,male,0.0243647379742511,0.245367056735782
2030,18,male,0.0374828165264744,0.2889472150039017
2030,19,male,0.057249284726437,0.3500457450280351
2030,20,male,0.0657609405236319,0.3734506230118338
2030,21,male,0.0754368228011809,0.3829935207031338
2030,22,male,0.0788459396243324,0.3786744381019349
2030,23,male,0.0823953902883287,0.3604933752082372
2030,24,male,0.0821486885755629,0.3284503320220406
2030,25,male,0.0819026595872948,0.2939871977148857
2030,26,male,0.0840254819370953,0.2602035904624526
2030,27,male,0.0861981595790375,0.2411358811360769
2030,28,male,0.0866421805473643,0.2248319282165649
2030,29,male,0.0870882707611164,0.2112917317039165
2030,30,male,0.08427179933877,0.2005152915981319
2030,31,male,0.0815382782993814,0.2059270209848228
2030,32,male,0.0799537095220367,0.1983177573260647
2030,33,male,0.0783973059018742,0.1922920818908198
2030,34,male,0.0761065650075812,0.1878499946790881
2030,35,male,0.0738773931287351,0.1842065599403094
2030,36,male,0.0702757249728996,0.1785517740922168
2030,37,male,0.0668369732509448,0.1744555419642461
2030,38,male,0.0658179494002827,0.1700982099195483
2030,39,male,0.0648133829108014,0.1654797779581234
2030,40,male,0.0638231014102055,0.1606002460799712
2030,41,male,0.0637266210793599,0.1528496649486629
2030,42,male,0.0636302766832303,0.147906825428077
2030,43,male,0.0635340680602494,0.1429323320862742
2030,44,male,0.0634379950489503,0.1379261849232545
2030,45,male,0.0633420574879674,0.1330354037246599
2030,46,male,0.0626435558785996,0.1262733800977288
2030,47,male,0.0619522474933219,0.1212162913897272
2030,48,male,0.0612680694506141,0.1157199443163543
2030,49,male,0.0605909591711282,0.1097843388776101
2030,50,male,0.0599208543821607,0.1034094750734945
2030,51,male,0.0597948193318468,0.0926218066159915
2030,52,male,0.059669032552128,0.0860670715823229
2030,53,male,0.0595434936246801,0.0794224009338779
2030,54,male,0.0594182021315855,0.0726877946706563
2030,55,male,0.0592931576553335,0.0638316622967745
2030,56,male,0.058177422611166,0.0500862783878057
2030,57,male,0.0570814086823664,0.0426298699661634
2030,58,male,0.0560048149204303,0.0365392062253241
2030,59,male,0.0549473431773014,0.0318142871652876
2030,60,male,0.0539086981516286,0.028455112786054
2030,61,male,0.0509844660510424,0.0335428205171349
2030,62,male,0.0482107734057148,0.0316701003470656
2030,63,male,0.0455807296557774,0.0305406072815784
2030,64,male,0.0430876675377284,0.0301543413206733
2030,65,male,0.0407251463065283,0.0305976889637328
2030,66,male,0.0381510340949774,0.0312606827841099
2030,67,male,0.0357335629218904,0.0311932291674269
2030,68,male,0.0334639472661633,0.0307182159531962
2030,69,male,0.0313338018513136,0.029835643141418
2030,70,male,0.0293351353125311,0.0285455107320921
2030,71,male,0.0266440499689326,0.0242131384389345
2030,72,male,0.0241936806111884,0.0225711273244096
2030,73,male,0.0219635789666101,0.0207531768572851
2030,74,male,0.0199348419802416,0.0187592870375611
2030,75,male,0.0180900298125935,0.0161245797933703
2030,76,male,0.0164056553214566,0.0121295373456141
2030,77,male,0.0148757380478273,0.0099004517946144
2030,78,male,0.0134865376841857,0.0080187871082849
2030,79,male,0.0122254605590982,0.0064845432866257
2030,80,male,0.0110809776548056,0.0052977203296367
2030,81,male,0.0107413272244763,0.0061840317440929
2030,82,male,0.010411978033657,0.005388628361407
2030,83,male,0.0100926242786442,0.0047889347658726
2030,84,male,0.0097829688334953,0.0043849509574898
2030,85,male,0.0094827230281569,0.0039892109847112
2030,86,male,0.0091916064307451,0.0032679965298495
2030,87,male,0.008909346634002,0.0028332966896429
2030,88,male,0.0086356790459443,0.0024354846865304
2030,89,male,0.0083703466847124,0.0020745605205123
2030,90,male,0.0081130999776186,0.0017505241915883
2030,91,male,0.0078636965643869,0.0014633756997586
2030,92,male,0.0076219011045722,0.0012131150450232
2030,93,male,0.0073874850891372,0.0009997422273819
2030,94,male,0.0071602266561638,0.000823257246835
2030,95,male,0.0069399104106659,0.0006836601033822
2030,96,male,0.0067263272484726,0.0005809507970237
2030,97,male,0.0065192741841397,0.0005151293277595
2030,98,male,0.0063185541828496,0.0004861956955895
2030,99,male,0.0061239759962515,0.0004941499005137
2030,100,male,0.0059353540021962,0.0004626837974796
2030,101,male,0.0057525080483105,0.0003400485930252
2030,102,male,0.005575263299361,0.0002762583842662
2030,103,male,0.0054034500883492,0.0002268414508756
2030,104,male,0.0052369037712816,0.0001917977928535
2030,105,male,0.0050754645855556,0.0001711274101999
2030,106,male,0.0049189775119004,0.0002426932745556
2030,107,male,0.004767292139812,0.0002370792498229
2030,108,male,0.0046202625364203,0.0002389934040506
2030,109,male,0.0044777471187237,0.0002484357372388
2031,0,male,0.0,0.0
2031,1,male,0.0,0.0
2031,2,male,0.0,0.0
2031,3,male,0.0,0.0
2031,4,male,0.0,0.0
2031,5,male,0.0,0.0
2031,6,male,0.0,0.0
2031,7,male,0.0,0.0
2031,8,male,0.0,0.0
2031,9,male,0.0,0.0
2031,10,male,0.0,0.0
2031,11,male,0.0,0.0
2031,12,male,0.0,0.0
2031,13,male,0.0,0.0
2031,14,male,0.0,0.0
2031,15,male,0.008109305867204,0.1898554613792282
2031,16,male,0.0135902079468603,0.2277277086529473
2031,17,male,0.0226907881450367,0.2576514595852686
2031,18,male,0.0349398813724092,0.3024901334898401
2031,19,male,0.0534397932371282,0.3653747784324663
2031,20,male,0.0614219659839251,0.3893472818953338
2031,21,male,0.0705076058990692,0.3989593108257613
2031,22,male,0.0737117228563664,0.3942108652237488
2031,23,male,0.077049376399993,0.3751019450892963
2031,24,male,0.0768173413015644,0.3416325504224037
2031,25,male,0.0765859469954579,0.3055848525983982
2031,26,male,0.0785827612798069,0.2700631798025425
2031,27,male,0.0806270924084929,0.2500285758279983
2031,28,male,0.0810449610652419,0.2329111808316084
2031,29,male,0.0814648035226281,0.2187109948133729
2031,30,male,0.0788144964087599,0.2074280177732916
2031,31,male,0.07624325519755,0.2132529147586314
2031,32,male,0.0747532118770288,0.2053092936885262
2031,33,male,0.0732899785114885,0.1990353506034091
2031,34,male,0.0711369527345769,0.1944310855032799
2031,35,male,0.0690424637590431,0.1906717059893249
2031,36,male,0.0656597964968337,0.1848265164939283
2031,37,male,0.0624317454815637,0.1805889761444473
2031,38,male,0.0614754608733947,0.1760788379129263
2031,39,male,0.060532878237098,0.1712961017993653
2031,40,male,0.0596038300673208,0.1662407678037643
2031,41,male,0.0595133224732891,0.1581968429834808
2031,42,male,0.0594229436294033,0.1530738504444843
2031,43,male,0.0593326933788729,0.14791702863379
2031,44,male,0.0592425715650174,0.142726377551398
2031,45,male,0.059152578031267,0.137672060058311
2031,46,male,0.0584973904141274,0.1306958635209935
2031,47,male,0.0578490136013572,0.1254570273127925
2031,48,male,0.0572073866399394,0.1197477602912668
2031,49,male,0.0565724489038754,0.1135680624564164
2031,50,male,0.0559441400976291,0.1069179338082412
2031,51,male,0.0558259727862259,0.0955821390759891
2031,52,male,0.0557080403436907,0.0887322890685494
2031,53,male,0.0555903423653728,0.0817825783814775
2031,54,male,0.0554728784470559,0.0747330070147734
2031,55,male,0.0553556481849576,0.0654381667722409
2031,56,male,0.0543097286864011,0.0510033756236174
2031,57,male,0.0532824566747394,0.0431905844813157
2031,58,male,0.0522735415248517,0.0368261157044384
2031,59,male,0.051282695562,0.0319099692929856
2031,60,male,0.0503096340953008,0.0284421452469572
2031,61,male,0.0475708138531794,0.0339534203837671
2031,62,male,0.0449740321832755,0.0320581484413501
2031,63,male,0.0425126756063165,0.0309491525507387
2031,64,male,0.0401803576971468,0.0306264327119331
2031,65,male,0.0379709204389427,0.0311951610632004
2031,66,male,0.0355644403152145,0.0320453816817364
2031,67,male,0.0333051954583453,0.0320652329766698
2031,68,male,0.0311848293357318,0.0316475143109973
2031,69,male,0.0291953787987373,0.030792225684719
2031,70,male,0.0273292659521895,0.0294993670978349
2031,71,male,0.0248174861760009,0.0249612472793735
2031,72,male,0.0225312116649899,0.0232869087749649
2031,73,male,0.0204511398074601,0.0214218303117941
2031,74,male,0.0185594531482902,0.0193660118898611
2031,75,male,0.016839735371603,0.0166441006682786
2031,76,male,0.0152699661977321,0.0125202228714665
2031,77,male,0.0138444674462073,0.0102192576445085
2031,78,male,0.012550347396224,0.0082769217276173
2031,79,male,0.0113758005738695,0.0066932151207928
2031,80,male,0.010310028123549,0.0054681378240351
2031,81,male,0.0099937697731765,0.0063830859953464
2031,82,male,0.0096871176382672,0.0055620548074251
2031,83,male,0.0093897856745402,0.0049430466739219
2031,84,male,0.0091014960079735,0.004526061594837
2031,85,male,0.0088219787225832,0.0041175949179529
2031,86,male,0.0085509716523987,0.0033731796164874
2031,87,male,0.0082882201776387,0.0029244954146869
2031,88,male,0.0080334770250845,0.002513885345561
2031,89,male,0.0077865020726424,0.0021413494091096
2031,90,male,0.0075470621580779,0.0018068876053328
2031,91,male,0.0073149308919027,0.0015104999342305
2031,92,male,0.0070898884743837,0.0012521863958027
2031,93,male,0.0068717215166471,0.0010319469900495
2031,94,male,0.0066602228658379,0.0008497817169709
2031,95,male,0.0064551914342959,0.0007056905765668
2031,96,male,0.0062564320327057,0.0005996735688372
2031,97,male,0.0060637552071727,0.0005317306937822
2031,98,male,0.005876977080176,0.0005018619514018
2031,99,male,0.0056959191953465,0.0005100673416959
2031,100,male,0.0055204083660146,0.0004775847323235
2031,101,male,0.0053502765274736,0.0003510000072654
2031,102,male,0.0051853605928978,0.0002851554068256
2031,103,male,0.0050255023128579,0.0002341469793982
2031,104,male,0.0048705481383727,0.0001979747249832
2031,105,male,0.0047203490874352,0.0001766386435806
2031,106,male,0.0045747606149498,0.0002505093180197
2031,107,male,0.004433642486019,0.0002447144911555
